明朝遗臣史可法等人拥立福王称帝南京，组织人马抗击清军。	Complex 2 4 遗臣
不久，英国政府采纳了罗兰希尔的建议，批准了世界上第一种邮资凭证——邮票，规定信件不超过半盎司（相当于14克），收费1便士。	Hard 58 60 便士
我只好解开重扣，爸爸说还要加上14秒时间，这样，我就降为第三名了。	Hard 5 7 重扣
雨小了些，祥子微微直了直脊背，吐出一口气：“先生，避避再走吧！”	Complex 12 14 脊背
后来，有一位喇嘛对国王献计：“除非找来九色鹿的皮做褥子，角做汤膏，才能使妃子睡了褥子醒神，吃了汤膏去祛病，否则必死无疑。”	Complex 30 32 汤膏
但自从被《申报》重金礼聘去当总编辑以后，也许是四为报受到立完派的张謇等影响过多、控制过严吧，他以“冷”的署名写的“时评”和“小言”，吞吞吐吐，有时简直不知所云，真如一般人批评的，看了像读《太上感应篇》一般，《时事新报》有署名“东荪”的评论，似乎言之有物，但文词啰嗦，不着边际。	Hard 32 34 张謇
此时，我简直是悲哀至极，哪里还有什么闲情逸致来欣赏幽径的情趣呢？	Complex 25 27 幽径
这里“霏”和“开”押韵（不完全韵），“空”和“形”押韵（不完全韵），“摧”和“啼”押韵（不完全韵），“讥”和“悲”押韵，“明”、“惊”和“顷”、“泳”、“青”押韵（平仄通押），“璧”和“极”押韵，“忘”和“洋”押韵。	Hard 82 86 平仄通押
离窠外出寻找花蜜的单个蜜蜂(根据一个跳舞的小蜂给它的指令：“去南偏东南七百米，有苜蓿——注意根据太阳偏转调整方向”)仍然是如同有细丝系住一样属于蜂窠的一部分。	Hard 40 42 苜蓿
这个计划建立的“工作框架图”所提供的序列，经生物信息的加工与其他技术的研究，已鉴定了近4万个基因，而且已经克隆了几十种与疾病直接有关的“疾病等位基因”。	Hard 53 55 克隆
我把脸伏在母亲的胸前，委屈地抽噎着。	Hard 14 16 抽噎
元英宗十分向往贞观年间君臣相得的情景，问身边的大臣拜住：“今天可还有魏徵那样敢说话的人？”	Hard 25 27 拜住
“多利”不是由母羊的卵细胞和公羊的精细胞受精的产物，而是“换核卵”一步一步发展的结果，因此是“克隆羊”。	Hard 20 22 受精
我们下一代——眼睛明亮、嗓音稚嫩、脸颊透红的下一代，将在化学废料中学游泳，他们的血管里将流着我们都说不出来的毒素。	Complex 14 16 稚嫩
徐霞客的时代，没有火车，没有汽车，没有飞机，他所去的许多地方连道路都没有，加上明朝末年治安不好，盗匪横行，长途旅行是非常艰苦又非常危险的事。	Complex 50 52 横行
白鹭是一首精巧的诗。	Complex 0 2 白鹭
一行人都吃得饱了，在厅上拜辞了梁中书。	Complex 12 14 拜辞
小刺猬连忙从背上取下两个大苹果，对小獾说：“留下吧，这也是我的一点儿心意！”	Hard 18 19 獾
然而不行，寒气从大衣的破洞侵入，像是一些刁滑、顽强的小动物，很快就爬满全身，他觉得自己也像是跌进了那冰冷的洪水中，怎样挣扎也抓不到一件可以依附的东西。	Complex 20 22 刁滑
也许是在为自己的“早晚”这一信念而进行的搏斗中，溪水分道扬镳了：一部分水说，这一条路会早一点儿到达目的地，而另一部分水认为另一边是近路，于是它们分开来了，绕了一个大弯子，彼此之间形成了一个大孤岛。	Complex 26 30 分道扬镳
老都管道：“你们不要怨怅，巴到东京时，我自赏你。”	Hard 13 14 巴
“没有人应该因镭致富，镭是一种元素，它是属于全世界的。”	Hard 7 8 镭
这时，我们不由得心潮澎湃，思绪万千，上下几千年，纵横千万里，一下涌进脑海之中，真是“无限风光在险峰”啊！	Complex 24 26 纵横
更羸说：“请让我试一下。”	Hard 0 2 更羸
水蒸气遇到冷，凝成了无数小水滴，漂浮在空中，变成云。	Complex 16 18 漂浮
这一事实会勾销了它仅仅剩下的那一点虚名，全部否定了它在品德方面具有诱导的作用，因为，这一来连那些懒汉也开始犹豫，再不肯向它学习了。	Complex 5 7 勾销
它们将短硬的喙像北方农妇在缸沿砺刀那样，在枝上反复擦拭。	Hard 6 7 喙
过去咱们阿尔萨斯最大的不幸，就是把教育推延到明天。	Complex 4 8 阿尔萨斯
小山谷里稻浪推涌，美好的稻香翻腾着。	Complex 14 16 翻腾
那人慢慢地站起来，手里拄着一根桦木削成的棍子，微风吹着他颤颤摇摇的身体，似乎一根根筋骨都能从衣服外面数出来。	Complex 15 17 桦木
大火连烧三天，烟云笼罩了整个北京城。	Complex 9 11 笼罩
每当读到“独在异乡为异客，每逢佳节倍思亲”“春草明年绿，王孙归不归”“自在飞花轻似梦，无边丝雨细如愁”之类的句子，常会有一颗两颗冰凉的泪珠落在我的腮边、手背。	Complex 35 42 自在飞花轻似梦
屠格涅夫也常常带来一些外文书籍，并非常流利地翻译一些歌德和普希金的诗句。	Hard 29 32 普希金
汽车行驶了大约三英里时，我们发现路边有条大黄狗，它似乎等着我们的到来。	Hard 8 10 英里
像西沙群岛上更有许多堆积得很厚很紧的鸟粪层，是极好的肥料，一种特别的矿产。	Complex 18 21 鸟粪层
我心悦诚服地点着头，感到这山民的几句朴素的话，似科包蕴着意味深长的哲理。	Complex 1 5 心悦诚服
那大圣趁着机会，滚下山崖，伏在那里又变，变了一座土地庙儿，大张着口，似个庙门，牙齿变做门扇，舌头变做菩萨，眼睛变做窗棂。	Complex 57 59 窗棂
苦苦寻觅中诞生了第三个方案。	Complex 0 4 苦苦寻觅
每个人都必须竭尽全力，否则就要前功尽弃。	Complex 6 10 竭尽全力
田间与灌木篱下，横陈着田凫、椋鸟、画眉等数不清的腐鸟的血衣，鸟儿的肉已被隐秘的老饕吃净了。	Hard 11 13 田凫
大自然这番壮美的景象，引起了鲁迅美好的回忆和辽远的退想。	Hard 25 27 退想
我听得斋公们说：打了天上的星宿，阎王就要拿去打一百铁棍，发在十八层地狱，永不得翻身。	Hard 3 5 斋公
最年轻的姑娘侬香得知了杀死火魔的秘密。	Complex 16 18 秘密
一九二0年有一天，堂兄兴高采烈地对我讲：“中国出了个了不起的英雄，真是神机妙算，用兵如神。”	Complex 11 15 兴高采烈
须知著书固要智慧，读书也要智慧。	Hard 2 4 著书
“我需要一克镭，以便继续我的研究，但是我买不起，的价格太高了。”	Hard 6 7 镭
医生刚一离开，这位病人就十分痛苦地挣扎着，用一只胳膊支起了身子，口中气喘吁吁。	Complex 17 19 挣扎
如果我一直不长大，就可一直沉浸在雨的欢乐中。	Complex 13 15 沉浸
记得有一个夏天的深夜，我忽然从睡梦中醒了过来，因为我的床背就紧接着母亲的床背，所以从帐里望得见母亲独自一人在灯下做鞋底，我心里又想起母亲的劳苦，辗转反侧睡不着，很想起来陪陪母亲。	Complex 72 76 辗转反侧
我把那件印着骄傲的仰着头的大角麋鹿的运动衫放在柜台上，抱着鞋盒走出商店。	Hard 15 17 麋鹿
一天，正值黄梅时节，天气闷热，王冕放牛累了，便在绿草地上坐着。	Hard 5 9 黄梅时节
云雾弥漫山谷，它是茫茫的大海；云雾遮挡山峰，它又是巨大的天幕。	Complex 28 30 天幕
毒牙是空心的，就像一支快速注射的针头，毒液传送到齿尖，可以让一个大动物几分钟之内昏迷——不喜欢有失身份的搏斗，蛇从不过多支付体力上的代价。	Complex 52 54 搏斗
新式构造，用不着争座位，便放了心，延宕到九点钟才去，谁料照例，人都满了，连立足也难，我只得挤在远处的人丛中看一个老旦在台上唱。	Complex 28 30 照例
这所谓灵柩，其实只是一卷用绳子捆着的芦席，说书人的脚从席子里露出来，不住随着杠手的步骤摆动，他的破长衫的一角直垂到地上，一路上扫着路上的浮土。	Hard 38 40 杠手
我们把新怀疑主义带进了所有的课堂，给那些不习惯质疑的老师带来了烦恼。	Hard 4 8 怀疑主义
“你瞧瞧，”他摇晃着脑袋对另一个人说，“你瞧，他们干得多利落！”	Complex 28 30 利落
《千家诗》中很大一部分诗歌歌咏祖国风物，按春夏秋冬时序编排，打开书往下念，四季风光就活生生地展现在眼前：“成紫千红总是春”，“春城无处不飞花”；“绿树阴浓夏日长”，“五月榴花照眼明”；“青女素娥俱耐冷，月中霜里斗婵娟”；“梅雪争春未肯降，骚人搁笔费评章”……	Hard 111 118 梅雪争春未肯降
来到这座城市，展现在救援队员面前的是一片悲惨景象：房倒屋塌，失去亲人的大人、孩子在哭泣，空气中弥漫着尸体腐烂后荼发的臭气。	Hard 55 57 荼发
他们纳粮当兵，敬畏官吏，何负于晋？	Hard 12 16 何负于晋
起初，肯尼迪家族在一大群应选的一流建筑师中，并没有太注意贝聿铭这位“初生之犊”，但他在生动地描述了根据建筑场地所作的设计，建筑材料的选用，以及如何赋予这座建筑物以特殊的目的和意义之后，深深地获得了肯尼迪遗孀杰奎琳的赏识。	Complex 103 106 杰奎琳
血和惨叫使整个工房的人都怔住了，大家都在发抖，这好像真是一个榜样。	Hard 12 13 怔
果一变变作个鱼鹰儿，飘荡在下溜头波面上。	Hard 13 16 下溜头
飞机在高空盘旋，鲜花伴着骨灰，撒向无垠的大海。	Hard 17 19 无垠
有弗学，学之弗能弗措也；有弗问，问之弗知弗措也；有弗思，思之弗得弗措也；有弗辨，辨之弗明弗措也；有弗行，行之弗笃弗措也。	Hard 16 23 问之弗知弗措也
水要喷出来，或者身体哪里破了流血，它立即上去按住；护士给病人打针时它要负责把注射液推入人体；握扫帚把柄时，它要独当一面；攥、捏、握、捻、弹、揪都离不开它。	Hard 60 61 攥
有些恶客在朋友家发现一本好书，顿时暗起杀机，雀跃曰：“哎呀，老哥，借给俺瞧瞧！”	Complex 17 21 暗起杀机
这样，大自然布置完毕，显然满意了，因此它在自己的这件艺术品上，最后三下两下，将那些可以让人从人间步人胜境去的通道全部切断，处处悬崖绝壁，无可托足。	Complex 63 67 悬崖绝壁
天保恰好在那天应向上行，随了陆路商人过川东龙潭送节货，故参加的就只傩送。	Hard 33 35 傩送
这种新物质的放射性极强，极少量的镭散布在矿石中，就是一些触目的现象的来源，很容易观察或测量。	Hard 16 17 镭
这支在滔滔海浪中前进的庞大舰队，前后绵延十几里，风帆蔽空，战旗招展。	Complex 18 20 绵延
从破屋顶的窟窿里看得见椽子。	Hard 11 13 椽子
及至始皇，奋六世之余烈，振长策而御宇内，吞二周而亡诸侯，履至尊而制六合，执敲扑而鞭笞天下，威振四海。	Hard 36 39 执敲扑
从物候学的角度来说，这首在当年就很轰动的诗，表现了两个重要规律：第一，草木的茂盛和凋谢，有一年一度的循环的规律；第二，这循环是随气候转化的，春风一到，头年枯黄的草木就苏醒了。	Complex 41 43 凋谢
不过，别看一丈青大娘能镇八方，她可管不了何满子。	Complex 5 8 一丈青
正是水的不同形态，使我们的地球环境“淡妆浓抹总相宜”，总是那么美丽，充满了生机。	Hard 18 25 淡妆浓抹总相宜
更会有一些农妇听了死讯一时性起，咬牙切齿地憎恨城市，憎恨外出，连带也憎恨信客，把他当做了死神冤鬼，大声呵斥，他也只能低眉顺眼、连声诺诺。	Complex 58 62 低眉顺眼
“你有了什么高招？”	Complex 6 8 高招
在西部有好几处沙疗疗养院。	Hard 7 9 沙疗
城春草木深，孟夏草木长。	Hard 6 10 孟夏草木
缅伯高把鹅从笼里抱出来，鹅已迫不及待要奔向水里。	Complex 0 3 缅伯高
在藏语中，拉萨是圣地的意思，那么，这湛蓝的天就是圣地的窗帘了。	Complex 18 20 湛蓝
啪啪声里，一道道浆，衔接得天衣无缝，刷过去的墙面，真好比平平整整打开一面雪白屏障。	Complex 10 12 衔接
德里莫夫中尉这样坐着，没人认出他来；谈到他自己，却假装是说别人，他越坐得久，他越变得不可能暴露他的身份，不可能站起来说：你们不认识我了么，母亲，父亲，我是个怪样的人了！……	Hard 4 6 中尉
承彦曰：“老夫在小婿家观《梁父吟》，记得这一篇；适过小桥，偶见篱落间梅花，故感而诵之。	Hard 37 42 故感而诵之
他非常愿意彻夜不睡，同这样的看守共度通宵；他愿意跟他们逗趣戏谑，给他们讲他漂泊生涯的故事，然后又悉心倾听他们的趣闻，目的只有一个：使他们保持清醒，以便让他们始终看清，他在笼子里什么吃的东西也没有，让他们知道，他们之中谁也比不上他的忍饿本领。	Complex 5 9 彻夜不睡
